epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,695.367,1.23888,1.05401,1.10577,0.95782,0.96685,0.96651,0.74515,0.86443,inf,0.91711,0.000554645,0.000554645,0.000554645
2,1352.76,0.80182,0.5395,0.90314,0.95902,0.97086,0.98359,0.82365,0.65009,61.8406,0.86227,0.00100039,0.00100039,0.00100039
3,2004.24,0.67255,0.46056,0.86847,0.95785,0.96979,0.98843,0.86101,0.54981,61.2196,0.83425,0.00133611,0.00133611,0.00133611
4,2655.21,0.57454,0.40192,0.8427,0.96647,0.97041,0.98884,0.88974,0.46874,inf,0.81461,0.0011719,0.0011719,0.0011719
5,3317.51,0.51426,0.36096,0.82779,0.93144,0.95692,0.99133,0.90432,0.44511,68.3027,0.8106,0.00100687,0.00100687,0.00100687
6,4048.69,0.47825,0.33601,0.81915,0.96581,0.95701,0.97449,0.90857,0.38043,inf,0.79397,0.000841835,0.000841835,0.000841835
