epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8790.57,0.67222,0.43551,0.99468,0.94446,0.90901,0.95503,0.81975,0.90076,0.53216,1.16263,0.000990365,0.000990365,0.000990365
43,8981.87,0.64619,0.42208,0.97713,0.94336,0.90506,0.95717,0.81957,0.9074,0.52263,1.16166,0.000973861,0.000973861,0.000973861
44,9173.4,0.65065,0.42396,0.98731,0.94437,0.90933,0.95547,0.81842,0.89037,0.52664,1.16889,0.000957358,0.000957358,0.000957358
45,9366.08,0.65277,0.42361,0.98556,0.92574,0.91828,0.95552,0.81914,0.90521,0.51941,1.16111,0.000940855,0.000940855,0.000940855
46,9559.01,0.64407,0.41997,0.98032,0.9254,0.91653,0.95226,0.81782,0.89907,0.53236,1.15516,0.000924352,0.000924352,0.000924352
47,9757.22,0.65309,0.42456,0.98301,0.93926,0.91469,0.95296,0.82002,0.88787,0.53382,1.14905,0.000907848,0.000907848,0.000907848
48,9974.49,0.63244,0.41256,0.97568,0.93634,0.91977,0.95339,0.81964,0.89146,0.5233,1.15143,0.000891345,0.000891345,0.000891345
49,10175.6,0.63402,0.41178,0.97548,0.9439,0.91878,0.9584,0.823,0.89249,0.50126,1.14312,0.000874842,0.000874842,0.000874842
50,10375.7,0.63757,0.41167,0.97283,0.94092,0.91348,0.95598,0.82273,0.88303,0.52313,1.13936,0.000858338,0.000858338,0.000858338
51,10573.8,0.61965,0.39966,0.96695,0.93835,0.91616,0.95407,0.82156,0.86795,0.50629,1.13395,0.000841835,0.000841835,0.000841835
