epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2467.75,1.08373,0.70527,1.12983,0.8907,0.84727,0.93399,0.6284,1.13239,0.68558,1.19648,0.000990365,0.000990365,0.000990365
43,2527.06,1.08834,0.7079,1.13948,0.85039,0.88585,0.93375,0.63282,1.15243,0.68229,1.20997,0.000973861,0.000973861,0.000973861
44,2586.35,1.07097,0.68979,1.13227,0.87551,0.86729,0.93271,0.63093,1.1389,0.68275,1.20826,0.000957358,0.000957358,0.000957358
45,2645.97,1.07211,0.68366,1.12419,0.88876,0.87267,0.94004,0.63752,1.12852,0.68138,1.19434,0.000940855,0.000940855,0.000940855
46,2705.71,1.06198,0.67019,1.1275,0.87706,0.87736,0.93432,0.63465,1.13873,0.69404,1.21321,0.000924352,0.000924352,0.000924352
47,2765.36,1.06529,0.6805,1.12834,0.88492,0.87681,0.93493,0.6174,1.17402,0.69778,1.21678,0.000907848,0.000907848,0.000907848
48,2825.29,1.04454,0.64414,1.11337,0.88937,0.89929,0.94415,0.64886,1.11344,0.65252,1.19117,0.000891345,0.000891345,0.000891345
49,2884.77,1.04009,0.67894,1.11859,0.88629,0.87838,0.93801,0.63511,1.10526,0.64903,1.16835,0.000874842,0.000874842,0.000874842
50,2944.73,1.06593,0.67155,1.11364,0.87592,0.88612,0.92891,0.63136,1.13709,0.67493,1.19865,0.000858338,0.000858338,0.000858338
51,3004.26,1.03231,0.64775,1.10498,0.88149,0.87976,0.94316,0.64554,1.1292,0.65643,1.17489,0.000841835,0.000841835,0.000841835
52,3064.11,1.02383,0.64924,1.09799,0.88272,0.87522,0.93781,0.6388,1.11385,0.65961,1.17685,0.000825332,0.000825332,0.000825332
53,3124.03,1.02753,0.65684,1.10186,0.89936,0.86666,0.94091,0.64095,1.11592,0.65858,1.19406,0.000808828,0.000808828,0.000808828
54,3183.54,1.01107,0.64584,1.10231,0.89045,0.87471,0.93644,0.64598,1.1072,0.67671,1.1791,0.000792325,0.000792325,0.000792325
55,3243.06,1.018,0.63891,1.09733,0.90077,0.86797,0.93906,0.64151,1.12363,0.68422,1.19778,0.000775822,0.000775822,0.000775822
56,3302.46,1.01906,0.63043,1.09524,0.91135,0.87899,0.94492,0.64501,1.12688,0.65069,1.18348,0.000759318,0.000759318,0.000759318
57,3361.97,1.01083,0.62075,1.09546,0.89892,0.88582,0.94575,0.65714,1.08905,0.63297,1.16385,0.000742815,0.000742815,0.000742815
58,3421.38,0.99277,0.61317,1.0883,0.90564,0.88001,0.94324,0.65364,1.1101,0.64419,1.18863,0.000726312,0.000726312,0.000726312
59,3480.72,1.0077,0.63759,1.09518,0.91695,0.88526,0.94626,0.65885,1.07589,0.601,1.15907,0.000709809,0.000709809,0.000709809
60,3540.2,1.00865,0.62007,1.09248,0.89018,0.90501,0.95163,0.65856,1.07948,0.61718,1.1503,0.000693305,0.000693305,0.000693305
61,3599.58,0.99616,0.62153,1.08934,0.89247,0.8848,0.94712,0.65191,1.09862,0.62901,1.17604,0.000676802,0.000676802,0.000676802
62,3659.04,0.97954,0.60254,1.08406,0.89612,0.89592,0.94632,0.65418,1.08592,0.63017,1.17179,0.000660299,0.000660299,0.000660299
63,3717.36,0.99983,0.62314,1.09354,0.89657,0.89412,0.94293,0.65399,1.06841,0.61392,1.16167,0.000643795,0.000643795,0.000643795
64,3774.65,0.96183,0.60386,1.07107,0.88545,0.88858,0.93924,0.64259,1.1115,0.63975,1.18223,0.000627292,0.000627292,0.000627292
65,3832.06,0.98003,0.60413,1.08159,0.89499,0.88488,0.94044,0.6459,1.09192,0.64103,1.18024,0.000610789,0.000610789,0.000610789
66,3891.72,0.95627,0.59226,1.06868,0.91093,0.86993,0.94739,0.65585,1.07894,0.62429,1.17254,0.000594286,0.000594286,0.000594286
67,3955.01,0.98707,0.60964,1.08742,0.88778,0.89211,0.94472,0.65703,1.08871,0.62396,1.18076,0.000577782,0.000577782,0.000577782
68,4019.61,0.95703,0.60236,1.07147,0.87286,0.89624,0.94309,0.65634,1.07828,0.6442,1.15785,0.000561279,0.000561279,0.000561279
69,4079.54,0.95332,0.58662,1.06579,0.88171,0.9165,0.94132,0.65908,1.08044,0.61973,1.17547,0.000544776,0.000544776,0.000544776
70,4140.14,0.96021,0.58017,1.07967,0.89057,0.8909,0.94941,0.66409,1.073,0.60914,1.16218,0.000528272,0.000528272,0.000528272
71,4216.68,0.96421,0.58797,1.06996,0.88256,0.89405,0.94542,0.65186,1.09634,0.61869,1.19428,0.000511769,0.000511769,0.000511769
72,4295.28,0.93018,0.57274,1.05976,0.89244,0.89733,0.94451,0.65358,1.08233,0.60987,1.16938,0.000495266,0.000495266,0.000495266
